Source,Target,Weight
Cowboy Bebop,Koukaku Kidoutai: Stand Alone Complex,0.75
Cowboy Bebop,DT Eightron,0.75
Trigun,DT Eightron,0.75
Trigun,Black Cat (TV),0.75
Trigun,Last Exile,0.75
Trigun,Gad Guard,0.75
Trigun,Sakura Taisen,0.75
Trigun,Yuusha-Ou GaoGaiGar,0.75
Trigun,Transformers: Choujin Master Force,0.75
Trigun,Transformers: The☆Headmasters,0.75
Trigun,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Trigun,The Third: Aoi Hitomi no Shoujo,0.75
Trigun,Daikuu Maryuu Gaiking,0.75
Trigun,Heat Guy J,0.75
Trigun,Astro Boy: Tetsuwan Atom,0.75
Trigun,Oban Star-Racers,0.75
Trigun,SF Saiyuuki Starzinger,0.75
Trigun,Uchuu no Kishi Tekkaman,0.75
Trigun,Genshi Shounen Ryuu,0.75
Trigun,Brain Powerd,1.0
Trigun,Eat-Man '98,0.75
Trigun,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Brain Powerd,DT Eightron,0.75
Brain Powerd,Black Cat (TV),0.75
Brain Powerd,Last Exile,0.75
Brain Powerd,Gad Guard,0.75
Brain Powerd,Sakura Taisen,0.75
Brain Powerd,Yuusha-Ou GaoGaiGar,0.75
Brain Powerd,Transformers: Choujin Master Force,0.75
Brain Powerd,Transformers: The☆Headmasters,0.75
Brain Powerd,Tatakae! Chou Robot Seimeitai Transformers Victory,0.75
Brain Powerd,The Third: Aoi Hitomi no Shoujo,0.75
Brain Powerd,Daikuu Maryuu Gaiking,0.75
Brain Powerd,Heat Guy J,0.75
Brain Powerd,Astro Boy: Tetsuwan Atom,0.75
Brain Powerd,Oban Star-Racers,0.75
Brain Powerd,SF Saiyuuki Starzinger,0.75
Brain Powerd,Uchuu no Kishi Tekkaman,0.75
Brain Powerd,Genshi Shounen Ryuu,0.75
Brain Powerd,Eat-Man '98,0.75
Brain Powerd,Soreyuke! Uchuu Senkan Yamamoto Youko (1999),0.75
Brain Powerd,Trigun,1.0
Cowboy Bebop: Tengoku no Tobira,Appleseed (Movie),0.75
Cowboy Bebop: Tengoku no Tobira,Armitage III: Dual-Matrix,0.75
Cowboy Bebop: Tengoku no Tobira,Venus Senki,0.75
Cowboy Bebop: Tengoku no Tobira,Dead Leaves,0.75
Cowboy Bebop: Tengoku no Tobira,Macross: Do You Remember Love?,0.75
Cowboy Bebop: Tengoku no Tobira,Kidou Senshi Gundam II: Ai Senshi-hen,0.75
Cowboy Bebop: Tengoku no Tobira,Tenchi Muyou! Manatsu no Eve,0.75
Cowboy Bebop: Tengoku no Tobira,Gundress,1.0
Kidou Senkan Nadesico: The Prince of Darkness,Appleseed (Movie),0.8
Kidou Senkan Nadesico: The Prince of Darkness,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Kidou Senkan Nadesico: The Prince of Darkness,Ouritsu Uchuugun: Honneamise no Tsubasa,1.0
Wonderful Days,Appleseed (Movie),0.8
Wonderful Days,Macross: Do You Remember Love?,0.8
Wonderful Days,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Wonderful Days,RahXephon: Tagen Hensoukyoku,1.0
Wonderful Days,Vampire Hunter D (2000),0.71
Wonderful Days,Initial D Third Stage,0.8
Wonderful Days,Windaria,0.83
Wonderful Days,Fushigi no Umi no Nadia: Original Movie,0.71
Steamboy,Appleseed (Movie),0.8
Steamboy,Armitage III: Dual-Matrix,0.8
Steamboy,Venus Senki,0.8
Steamboy,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Steamboy,Genma Taisen,0.83
Steamboy,Kidou Senshi Gundam I,1.0
Steamboy,Kidou Senshi Gundam III: Meguriai Sora-hen,1.0
Steamboy,Odin: Koushi Hansen Starlight,1.0
Steamboy,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Steamboy,Fushigi no Umi no Nadia: Original Movie,0.71
RahXephon: Tagen Hensoukyoku,Appleseed (Movie),0.8
RahXephon: Tagen Hensoukyoku,Macross: Do You Remember Love?,0.8
RahXephon: Tagen Hensoukyoku,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
RahXephon: Tagen Hensoukyoku,Wonderful Days,1.0
RahXephon: Tagen Hensoukyoku,Vampire Hunter D (2000),0.71
RahXephon: Tagen Hensoukyoku,Initial D Third Stage,0.8
RahXephon: Tagen Hensoukyoku,Windaria,0.83
RahXephon: Tagen Hensoukyoku,Fushigi no Umi no Nadia: Original Movie,0.71
Street Fighter Zero The Animation,Appleseed (Movie),0.75
Street Fighter Zero The Animation,Kidou Senshi Gundam II: Ai Senshi-hen,0.75
Street Fighter Zero The Animation,Initial D Third Stage,0.75
Ouritsu Uchuugun: Honneamise no Tsubasa,Appleseed (Movie),0.8
Ouritsu Uchuugun: Honneamise no Tsubasa,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Ouritsu Uchuugun: Honneamise no Tsubasa,Kidou Senkan Nadesico: The Prince of Darkness,1.0
Kidou Senshi Gundam I,Appleseed (Movie),0.8
Kidou Senshi Gundam I,Armitage III: Dual-Matrix,0.8
Kidou Senshi Gundam I,Venus Senki,0.8
Kidou Senshi Gundam I,Kidou Senshi Gundam II: Ai Senshi-hen,0.8
Kidou Senshi Gundam I,Genma Taisen,0.83
Kidou Senshi Gundam I,Steamboy,1.0
Kidou Senshi Gundam I,Kidou Senshi Gundam III: Meguriai Sora-hen,1.0
Kidou Senshi Gundam I,Odin: Koushi Hansen Starlight,1.0
Kidou Senshi Gundam I,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,0.83
Kidou Senshi Gundam I,Fushigi no Umi no Nadia: Original Movie,0.71
Kidou Senshi Gundam II: Ai Senshi-hen,Appleseed (Movie),1.0
Kidou Senshi Gundam II: Ai Senshi-hen,Gundress,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Cowboy Bebop: Tengoku no Tobira,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Kidou Senkan Nadesico: The Prince of Darkness,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Wonderful Days,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Steamboy,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,RahXephon: Tagen Hensoukyoku,0.8
Kidou Senshi Gundam II: Ai Senshi-hen,Street Fighter Zero The Animation,0.75
Kidou Senshi Gundam II: Ai Senshi-hen,Ouritsu Uchuugun: Honneamise no Tsubasa,0.8
